code,player_id,name,full_name,position,club,club_id,price,status,chance,news,ownership,ep_next,penalties_order,set_piece_order,prior_club,history,ls_minutes,ls_points,ls_starts,ls_xgi,ls_clean_sheets,dc_per_90,team_strength,fdr_gw1,fdr_next5,gw1_opp,gw1_home,pp90,xgi90,xgi_implied_pp90,dc_points_per_90,rate_per_90,reliability,minutes_per_start,start_share,proj_minutes,available,fixture_mult,fdr_blend,xp,xp_per_million
519440,361,Lucky,Wellity Lucky,DEF,Liverpool,14,4.0,a,,,0.2,1.0,,,Liverpool,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.0088237872375547,0.0,,0.2782608695652174,27.58695652173913,True,1.0168,2.7600000000000002,0.9377640343210945,0.2344410085802736
606702,362,Jacquet,Jeremy Jacquet,DEF,Liverpool,14,5.0,d,75.0,Shoulder injury - 75% chance of playing,2.0,1.6,,,,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.0088237872375547,0.0,,0.6304347826086956,34.061820652173914,True,1.0168,2.7600000000000002,1.1578642365254472,0.23157284730508945
647681,363,Leoni,Giovanni Leoni,DEF,Liverpool,14,4.0,i,0.0,Knee injury - Unknown return date,0.1,0.0,,,Liverpool,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.0088237872375547,0.0,,0.2782608695652174,0.0,False,1.0168,2.7600000000000002,0.0,0.0
214285,364,Tsimikas,Kostas Tsimikas,DEF,Liverpool,14,5.0,a,,,0.1,2.2,,,Liverpool,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.0088237872375547,0.0,,0.6304347826086956,45.41576086956522,True,1.0168,2.7600000000000002,1.5438189820339296,0.3087637964067859
489580,365,Ramsay,Calvin Ramsay,DEF,Liverpool,14,4.0,a,,,0.2,1.0,,,Liverpool,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.0088237872375547,0.0,,0.2782608695652174,27.58695652173913,True,1.0168,2.7600000000000002,0.9377640343210945,0.2344410085802736
494595,366,Wirtz,Florian Wirtz,MID,Liverpool,14,7.5,a,,,12.3,2.6,4.0,6.0,Liverpool,full,2374.0,125.0,27.0,11.96,10.0,6.672283066554338,4.0,3,2.6,NEW,False,4.738837405223252,0.4534119629317608,5.051462674283403,1.1120471777590564,4.662539383321238,0.7251069028711057,87.92592592592592,0.7287525397518708,64.07624182855338,True,1.012,2.7600000000000002,3.3593677452619546,0.4479156993682606
243298,367,Gakpo,Cody Gakpo,MID,Liverpool,14,7.0,a,,,3.8,2.4,3.0,5.0,Liverpool,full,2736.0,131.0,32.0,13.02,10.0,5.0,4.0,3,2.6,NEW,False,4.309210526315789,0.4282894736842105,4.953484519604382,0.8333333333333334,4.371841371860957,0.7524752475247525,85.5,0.8223255252354504,70.30883240763102,True,1.012,2.7600000000000002,3.4563067897204744,0.49375811281721066
424876,368,Szoboszlai,Dominik Szoboszlai,MID,Liverpool,14,7.0,a,,,40.4,2.4,2.0,4.0,Liverpool,full,3232.0,160.0,36.0,11.59,9.0,9.412128712871286,4.0,3,2.6,NEW,False,4.455445544554456,0.3227413366336634,4.541844908731452,1.568688118811881,4.563828997878434,0.782187802516941,89.77777777777777,0.9070354178601652,81.43162418122371,True,1.012,2.7600000000000002,4.1788854208444315,0.5969836315492045
611922,369,Ngumoha,Rio Ngumoha,MID,Liverpool,14,6.0,a,,,1.7,2.1,,,Liverpool,full,547.0,43.0,5.0,3.35,2.0,4.936014625228519,4.0,3,2.6,NEW,False,7.074954296160877,0.5511882998171846,5.432792126349632,0.8226691042047531,4.938129892156215,0.3780234968901175,90.0,0.46388526392083834,41.74967375287545,True,1.012,2.7600000000000002,2.3182143965578463,0.3863690660929744
223541,370,Chiesa,Federico Chiesa,MID,Liverpool,14,5.5,a,,,0.1,2.0,,,Liverpool,full,317.0,37.0,1.0,2.06,0.0,8.517350157728707,4.0,3,2.6,NEW,False,10.504731861198739,0.5848580441640379,5.564104727864259,1.4195583596214512,5.264779995124451,0.26047658175842237,,0.41629810040261894,8.342105263157896,True,1.012,2.7600000000000002,0.493848678817516,0.089790668875912
441266,371,Gravenberch,Ryan Gravenberch,MID,Liverpool,14,6.0,a,,,1.6,2.1,,,Liverpool,full,2991.0,144.0,34.0,4.15,9.0,8.966900702106319,4.0,3,2.6,NEW,False,4.332998996990972,0.12487462387161485,3.770161211395618,1.4944834503510531,4.152033511922728,0.7686969930609098,87.97058823529412,0.8417954735080362,74.05324297830988,True,1.012,2.7600000000000002,3.4573467230072117,0.5762244538345352
243016,372,Mac Allister,Alexis Mac Allister,MID,Liverpool,14,5.5,a,,,1.9,2.0,5.0,,Liverpool,full,2654.0,108.0,31.0,5.58,7.0,7.765636774679729,4.0,3,2.6,NEW,False,3.6623963828183874,0.18922381311228337,4.021124193398151,1.294272795779955,3.963151659882969,0.7467642093415869,85.61290322580645,0.7494085385719539,64.15904068935373,True,1.012,2.7600000000000002,2.859147474530726,0.5198449953692229
206915,373,C.Jones,Curtis Jones,MID,Liverpool,14,5.5,a,,,0.1,2.0,,,Liverpool,full,1923.0,81.0,18.0,4.98,3.0,11.09204368174727,4.0,3,2.6,NEW,False,3.790951638065523,0.23307332293291735,4.192138061230705,1.8486739469578783,4.318924849180388,0.6811902231668437,90.0,0.4991808075695836,44.926272681262525,True,1.012,2.7600000000000002,2.181795486774763,0.3966900885045023
158983,374,Endo,Endo Wataru,MID,Liverpool,14,5.0,d,75.0,Ankle injury - 75% chance of playing,0.0,1.1,,,Liverpool,full,170.0,12.0,1.0,0.09,1.0,12.176470588235293,4.0,3,2.6,NEW,False,6.352941176470588,0.04764705882352941,3.468972334799591,2.0,4.5036741084648195,0.1588785046728972,,0.31703717922570274,3.355263157894737,True,1.012,2.7600000000000002,0.16991493281146658,0.033982986562293316
591386,375,Nyoni,Trey Nyoni,MID,Liverpool,14,5.0,a,,,0.0,1.5,,,Liverpool,full,21.0,6.0,0.0,0.39,0.0,21.428571428571427,4.0,3,2.6,NEW,False,25.71428571428571,1.6714285714285715,9.80174910063956,2.0,4.685254577652281,0.02280130293159609,,0.36347024708032094,0.5526315789473685,True,1.012,2.7600000000000002,0.029114336340428742,0.005822867268085749
535928,376,Bajcetic,Stefan Bajčetić Maquieira,MID,Liverpool,14,5.0,i,0.0,Hamstring injury - Expected back 23 Aug,0.0,0.0,,,Liverpool,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.2974329737048507,0.0,,0.3719512195121951,0.0,False,1.012,2.7600000000000002,0.0,0.0
551499,377,Munoz,Victor Munoz,MID,Liverpool,14,6.5,a,,,1.0,2.3,,,,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.2974329737048507,0.0,,0.7304878048780488,50.48094512195121,True,1.012,2.7600000000000002,1.8717224820530427,0.28795730493123733
491501,378,McConnell,James McConnell,MID,Liverpool,14,4.5,a,,,0.2,1.0,,,Liverpool,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.2974329737048507,0.0,,0.23170731707317074,25.23018292682927,True,1.012,2.7600000000000002,0.9354797240102041,0.20788438311337867
219168,379,Isak,Alexander Isak,FWD,Liverpool,14,9.0,a,,,12.8,2.7,1.0,,Liverpool,full,694.0,41.0,8.0,2.67,1.0,3.890489913544669,4.0,3,2.6,NEW,False,5.31700288184438,0.34625360230547547,4.238362543746819,0.6484149855907781,4.775289346925943,0.4353826850690088,86.75,0.5383714471062149,46.70372303646414,True,1.012,2.7600000000000002,2.507778628563785,0.27864206984042056
510663,380,Ekitiké,Hugo Ekitiké,FWD,Liverpool,14,7.5,i,0.0,Achilles injury - Expected back 31 Dec,0.2,0.0,,,Liverpool,full,1797.0,125.0,21.0,12.55,7.0,4.257095158597663,4.0,3,2.6,NEW,False,6.260434056761269,0.6285475792988314,5.760998106551179,0.7095158597662771,5.585177245039605,0.6662958843159066,85.57142857142857,0.6189849747052969,0.0,False,1.012,2.7600000000000002,0.0,0.0
514514,381,Koumas,Lewis Koumas,MID,Liverpool,14,5.0,a,,,0.0,1.5,,,,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.2974329737048507,0.0,,0.3719512195121951,32.330030487804876,True,1.012,2.7600000000000002,1.198726465269193,0.23974529305383857
500058,382,Danns,Jayden Danns,FWD,Liverpool,14,4.5,d,75.0,Hamstring injury - 75% chance of playing,0.1,0.8,,,Liverpool,none,0.0,0.0,0.0,0.0,0.0,,4.0,3,2.6,NEW,False,,,,0.0,3.7230735535642214,0.0,,0.25735294117647056,19.896369485294116,True,1.012,2.7600000000000002,0.832939497857249,0.18509766619049978
444884,383,Elliott,Harvey Elliott,MID,Liverpool,14,5.5,a,,,0.1,2.0,,,Aston Villa,mover,110.0,5.0,1.0,0.37,0.0,4.909090909090909,4.0,3,2.6,NEW,False,4.090909090909091,0.30272727272727273,4.463789703697685,0.8181818181818182,4.3515563824516414,0.10891089108910891,,0.49622516808805406,2.605263157894737,True,1.012,2.7600000000000002,0.12747769907750442,0.023177763468637168
114283,238,Grealish,Jack Grealish,MID,Man City,15,6.5,a,,,0.3,2.3,,,Everton,mover,1627.0,79.0,18.0,5.41,7.0,7.467732022126613,4.5,3,2.8,BOU,True,4.3700061462815,0.2992624462200369,4.450276818723716,1.2446220036877689,4.358898272820069,0.6438464582508904,90.0,0.5651457201885871,45.77680333527556,True,1.006,2.88,2.230373861859075,0.34313444028601153
204936,384,Donnarumma,Gianluigi Donnarumma,GKP,Man City,15,5.5,a,,,11.1,3.3,,,Man City,full,3060.0,135.0,34.0,0.13,15.0,0.0,4.5,3,2.8,BOU,True,3.9705882352941178,0.003823529411764706,,0.0,3.811149445967585,0.7727272727272727,90.0,0.8686602870813398,78.17942583732058,True,1.0084,2.88,3.3384031628875817,0.6069823932522875
432720,385,Trafford,James Trafford,GKP,Man City,15,5.0,a,,,1.0,2.6,,,Man City,full,360.0,13.0,4.0,0.0,1.0,0.0,4.5,3,2.8,BOU,True,3.2499999999999996,0.0,,0.0,3.811149445967585,0.2857142857142857,90.0,0.5265037593984963,47.38533834586466,True,1.0084,2.88,2.0234398208232536,0.4046879641646507
122074,386,Bettinelli,Marcus Bettinelli,GKP,Man City,15,4.5,a,,,0.1,2.0,,,Man City,none,0.0,0.0,0.0,0.0,0.0,,4.5,3,2.8,BOU,True,,,,0.0,3.811149445967585,0.0,,0.515,39.571875,True,1.0084,2.88,1.6897907761088728,0.3755090613575273
472769,387,O'Reilly,Nico O'Reilly,DEF,Man City,15,6.5,a,,,24.9,3.1,,,Man City,full,2643.0,160.0,29.0,8.79,14.0,5.856980703745743,4.5,3,2.8,BOU,True,5.448354143019296,0.2993189557321225,5.1595852154233475,1.1713961407491484,4.8645901137308964,0.745977984758679,90.0,0.7708599352447312,69.3773941720258,True,1.0084,2.88,3.781416928071285,0.5817564504725053
209036,388,Guéhi,Marc Guéhi,DEF,Man City,15,6.0,a,,,25.4,2.8,,,Man City,full,3150.0,179.0,35.0,6.42,14.0,7.942857142857143,4.5,3,2.8,BOU,True,5.114285714285715,0.18342857142857144,4.418379023333034,1.5885714285714285,4.644697244188787,0.7777777777777778,90.0,0.8894419018560895,80.04977116704805,True,1.0084,2.88,4.165890332560515,0.6943150554267525
465351,389,Matheus N.,Matheus Nunes,DEF,Man City,15,6.0,a,,,6.0,2.8,5.0,,Man City,full,2861.0,154.0,32.0,2.57,12.0,6.134218804613771,4.5,3,2.8,BOU,True,4.844459979028311,0.08084585809157636,3.762285398449986,1.2268437609227543,4.164356010998134,0.7607019409731455,89.40625,0.8269574769843698,73.93516692663381,True,1.0084,2.88,3.4497628068036064,0.5749604678006011
171314,390,Rúben,Rúben dos Santos Gato Alves Dias,DEF,Man City,15,5.5,a,,,1.3,2.5,,,Man City,full,2139.0,113.0,24.0,1.22,12.0,7.026647966339411,4.5,3,2.8,BOU,True,4.754558204768584,0.05133239831697054,3.573524620181725,1.4053295932678822,4.1154010352170545,0.7038499506416585,89.125,0.661659863423097,58.97043532758352,True,1.0084,2.88,2.719172903503667,0.49439507336430305
477424,391,Gvardiol,Joško Gvardiol,DEF,Man City,15,5.5,a,,,6.3,2.5,,,Man City,full,1370.0,79.0,16.0,2.95,6.0,6.766423357664234,4.5,3,2.8,BOU,True,5.18978102189781,0.1937956204379562,4.484684100890917,1.3532846715328468,4.480729423009684,0.6035242290748899,85.625,0.5447925382312322,46.647861086049254,True,1.0084,2.88,2.3419131312857187,0.4258023875064943
448514,392,Aït-Nouri,Rayan Aït-Nouri,DEF,Man City,15,5.5,a,,,1.0,2.5,,,Man City,full,971.0,60.0,12.0,2.54,5.0,6.210092687950566,4.5,3,2.8,BOU,True,5.561277033985582,0.23542739443872296,4.750950615257176,1.2420185375901132,4.556252298605398,0.5189738107963656,80.91666666666667,0.5165518628910248,41.79765490559876,True,1.0084,2.88,2.133781808826279,0.3879603288775053
578153,393,Khusanov,Abdukodir Khusanov,DEF,Man City,15,5.5,a,,,2.1,2.5,,,Man City,full,1427.0,67.0,15.0,1.86,6.0,7.757533286615277,4.5,3,2.8,BOU,True,4.225648213034338,0.11730903994393835,3.995494877689393,1.5515066573230554,4.0865265465567955,0.6132359260850881,90.0,0.525623734510507,47.30613610594563,True,1.0084,2.88,2.166018337471959,0.39382151590399256
494307,394,Alleyne,Max Alleyne,DEF,Man City,15,5.0,a,,,0.1,2.2,,,Man City,full,135.0,5.0,2.0,0.32,0.0,7.333333333333334,4.5,3,2.8,BOU,True,3.333333333333333,0.21333333333333332,4.609642473100685,1.4666666666666668,3.996395224841077,0.13043478260869565,,0.5550691473485224,3.5526315789473686,True,1.0084,2.88,0.15907756360775296,0.031815512721550594
477064,395,Lewis,Rico Lewis,DEF,Man City,15,4.5,a,,,0.2,1.7,,,Man City,full,401.0,19.0,4.0,1.58,1.0,4.2643391521197005,4.5,3,2.8,BOU,True,4.2643391521197005,0.35461346633416463,5.5132352088471865,0.8528678304239401,4.17168280252608,0.30822444273635663,90.0,0.3501350835565671,31.512157520091037,True,1.0084,2.88,1.4729219876896882,0.32731599726437516
616222,396,Vitor Reis,Vitor de Oliveira Nunes dos Reis,DEF,Man City,15,4.5,a,,,0.0,1.7,,,Man City,none,0.0,0.0,0.0,0.0,0.0,,4.5,3,2.8,BOU,True,,,,0.0,3.0088237872375547,0.0,,0.4592391304347826,36.74898097826087,True,1.0084,2.88,1.238888958581938,0.2753086574626529
437730,397,Semenyo,Antoine Semenyo,MID,Man City,15,8.5,a,,,20.2,2.9,3.0,,Man City,full,3200.0,202.0,37.0,14.21,12.0,6.637499999999999,4.5,3,2.8,BOU,True,5.68125,0.39965625,4.841814438210513,1.10625,4.9068550890804605,0.7804878048780488,86.48648648648648,0.9339522214220859,80.77424617704527,True,1.006,2.88,4.430284511622171,0.5212099425437848
209244,398,Foden,Phil Foden,MID,Man City,15,7.0,a,,,5.1,2.4,,4.0,Man City,full,2078.0,131.0,23.0,10.79,11.0,6.9297401347449465,4.5,3,2.8,BOU,True,5.673724735322426,0.46732435033686237,5.105721232489948,1.1549566891241578,4.973982010014576,0.6977837474815313,90.0,0.6526905479722501,58.74214931750251,True,1.006,2.88,3.265949869982851,0.4665642671404073
466052,399,Cherki,Rayan Cherki,MID,Man City,15,7.5,a,,,10.3,2.6,,5.0,Man City,full,1772.0,135.0,19.0,13.14,8.0,6.85665914221219,4.5,3,2.8,BOU,True,6.85665914221219,0.6673814898419864,5.885947633063958,1.1427765237020318,5.5740881016118164,0.6631736526946108,90.0,0.593243391266248,53.391905213962325,True,1.006,2.88,3.326631674188739,0.44355088989183183
248875,400,Doku,Jérémy Doku,MID,Man City,15,7.5,a,,,6.9,2.6,4.0,,Man City,full,1773.0,120.0,19.0,8.73,8.0,6.395939086294416,4.5,3,2.8,BOU,True,6.091370558375634,0.44314720812182745,5.011429948043588,1.0659898477157361,4.996854147296161,0.6632996632996633,90.0,0.5932085078426542,53.38876570583888,True,1.006,2.88,2.981961450980683,0.39759486013075773
438234,401,Marmoush,Omar Marmoush,FWD,Man City,15,7.0,a,,,0.6,2.2,2.0,,Man City,full,691.0,56.0,8.0,3.55,4.0,5.07959479015919,4.5,3,2.8,BOU,True,7.293777134587554,0.4623733719247467,4.8646886618244745,0.8465991316931983,5.206594608489841,0.43431803896920174,86.375,0.5015547983724239,43.32179570941811,True,1.006,2.88,2.5212486904286577,0.3601783843469511
220566,402,Rodrigo,Rodrigo 'Rodri' Hernandez Cascante,MID,Man City,15,6.5,i,0.0,Back injury - Unknown return date,0.1,0.0,,,Man City,full,1510.0,69.0,17.0,3.6,5.0,12.278145695364238,4.5,3,2.8,BOU,True,4.112582781456954,0.21456953642384105,4.119972964895331,2.0,4.4406773464647,0.6265560165975104,88.82352941176471,0.5530976515268538,0.0,False,1.006,2.88,0.0,0.0
510281,403,Savinho,Sávio Moreira de Oliveira,MID,Man City,15,6.5,a,,,0.1,2.3,,,Man City,full,817.0,43.0,7.0,4.09,3.0,6.499388004895961,4.5,3,2.8,BOU,True,4.7368421052631575,0.4505507955936352,5.040304070800479,1.0832313341493267,4.559928121101032,0.47582993593476997,90.0,0.4705527224171484,42.349745017543356,True,1.006,2.88,2.1585607109590663,0.33208626322447177
433036,404,Reijnders,Tijjani Reijnders,MID,Man City,15,6.0,a,,,0.3,2.1,,6.0,Man City,full,1623.0,92.0,19.0,6.96,7.0,5.545286506469501,4.5,3,2.8,BOU,True,5.101663585951941,0.3859519408502773,4.788367388899044,0.9242144177449169,4.569612441029149,0.643281807372176,85.42105263157895,0.559163017313883,47.76429353160169,True,1.006,2.88,2.439709953541434,0.40661832559023897
465694,405,N.Gonzalez,Nico González Iglesias,MID,Man City,15,5.5,a,,,0.1,2.0,,,Man City,full,1561.0,63.0,17.0,1.8,7.0,11.877001921844972,4.5,3,2.8,BOU,True,3.632286995515695,0.10377962844330557,3.687890354210172,1.9795003203074952,4.146523223125577,0.6342950020316944,90.0,0.4862392475375812,43.761532278382305,True,1.006,2.88,2.0282995459011444,0.3687817356183899
91651,406,Kovačić,Mateo Kovačić,MID,Man City,15,5.5,a,,,0.1,2.0,,,Man City,full,125.0,9.0,1.0,0.55,0.0,12.959999999999999,4.5,3,2.8,BOU,True,6.4799999999999995,0.396,4.827554998211743,2.0,4.579290332406191,0.12195121951219512,,0.4893484454741852,3.289473684210526,True,1.006,2.88,0.16837595301171884,0.030613809638494336
575204,407,Echeverri,Claudio Echeverri,MID,Man City,15,5.0,a,,,0.0,1.5,,,Man City,none,0.0,0.0,0.0,0.0,0.0,,4.5,3,2.8,BOU,True,,,,0.0,3.2974329737048507,0.0,,0.3719512195121951,32.330030487804876,True,1.006,2.88,1.1916193913644348,0.23832387827288698
